Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Ethiopia,Sub-Saharan Africa,3,5,334,373,100,339220,25,1667316,13115000,NA,NA,39,14,2585000000,130000,1.04E+10,6,NA,69,12,0,1000000,53,51,52,NA,14,3,80,0,NA,75173000,50,1,5,83,59,37018,NA,NA,1104300,NA
FaeroeIslands,Europe,0,NA,NA,NA,NA,30,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,48300,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA
Fiji,Pacific,1,3,157,236,36,4600,77,870571,200000,NA,NA,22,7,NA,10000,1900971648,148,NA,75,2,8,18270,71,66,68,NA,NA,NA,16,6,NA,828046,49,0,NA,98,107,NA,NA,NA,18270,21
Finland,Europe,0,2,63,138,10,22660,NA,7075195,2234000,NA,NA,11,9,8.46E+10,225000,1.38E+11,2824,7,97,1,53,304590,82,76,79,NA,NA,1,3,50,NA,5246100,50,0,NA,99,104,78821,NA,NA,338150,23
France,Europe,1,2,57,127,7,295690,NA,52477178,18507000,NA,NA,13,9,4.83E+11,155540,1.44E+12,3807,NA,98,2,43,550100,84,77,80,NA,NA,2,4,57,NA,60873000,51,0,NA,99,101,950985,NA,NA,551500,22
FrenchPolynesia,Pacific,1,2,98,158,38,450,NA,NA,3000,NA,NA,19,5,NA,1050,NA,NA,NA,NA,NA,22,3660,76,71,74,NA,NA,NA,NA,11,NA,255632,49,NA,NA,NA,NA,NA,NA,NA,4000,NA
Gabon,Sub-Saharan Africa,2,3,365,376,88,51600,41,465343,325000,NA,NA,27,12,1290000000,217750,5523001856,276,NA,38,0,5,257670,57,56,57,NA,NA,1,60,3,NA,1290693,50,8,NA,NA,NA,NA,NA,NA,267670,NA
Gambia,Sub-Saharan Africa,3,5,179,224,107,8140,38,NA,350000,NA,NA,36,11,NA,4710,508515360,15,1,88,3,4,10000,60,58,59,NA,NA,NA,86,2,NA,1617029,50,2,NA,NA,NA,NA,NA,NA,11300,NA
Georgia,Europe,-1,1,82,216,32,30060,69,249131,802000,8,3,11,12,7479000000,27600,4356575744,123,4,84,8,6,69490,75,67,71,NA,NA,4,29,5,NA,4473409,52,0,NA,100,99,NA,NA,NA,69700,12
Germany,Europe,0,1,NA,NA,10,170300,NA,90788848,11903000,NA,NA,8,10,5.86E+11,110760,1.96E+12,3628,8,90,2,43,348770,82,76,79,NA,NA,1,4,61,NA,82469400,51,0,NA,100,98,NA,NA,NA,357050,11
